Nelemtj = 608, ElemNodeEnd = 127, ElemMyelenEnd = 607
frontloc = 0.00154317, frontloc_old = 0.0015, cond. vel. = 0.0431683 m/s

Writing: "ThinLine2DTestL06ISOV1_16.chk" (0s, XML)
Steps: 1700000  Time: 0.017       
 CPU Time: 48.5425 min.
(Nodeid,phi):  (0,117.438),  (1,117.44),  (2,32.2535),  (3,0.454332),  (4,0.00623216),  (5,-0.000970215),  (6,-0.00108545),  (7,-0.00108784),  (8,-0.00108787),  (9,-0.00108787),  (10,-0.00108787),  (11,-0.00108787),  (12,-0.00108787),  (13,-0.00108787),  (14,-0.00108787),  (15,-0.00108787),  (16,-0.00108787),  (17,-0.00108787),  (18,-0.00108787),  (19,-0.00108787),  (20,-0.00108787),  (21,-0.00108787),  (22,-0.00108787),  (23,-0.00108787),  (24,-0.00108787),  (25,-0.00108787),  (26,-0.00108787),  (27,-0.00108787),  (28,-0.00108787),  (29,-0.00108787),  (30,-0.00108787),  (31,-0.00108786), 
frontloc = 0.0016146, frontloc_old = 0.00154317, cond. vel. = 0.0714286 m/s

Writing: "ThinLine2DTestL06ISOV1_17.chk" (0s, XML)
Steps: 1800000  Time: 0.018       
 CPU Time: 48.5019 min.
(Nodeid,phi):  (0,117.442),  (1,117.443),  (2,34.6858),  (3,0.488986),  (4,0.00678728),  (5,-0.000963187),  (6,-0.00108719),  (7,-0.00108976),  (8,-0.0010898),  (9,-0.0010898),  (10,-0.0010898),  (11,-0.0010898),  (12,-0.0010898),  (13,-0.0010898),  (14,-0.0010898),  (15,-0.0010898),  (16,-0.0010898),  (17,-0.0010898),  (18,-0.0010898),  (19,-0.0010898),  (20,-0.0010898),  (21,-0.0010898),  (22,-0.0010898),  (23,-0.0010898),  (24,-0.0010898),  (25,-0.0010898),  (26,-0.0010898),  (27,-0.0010898),  (28,-0.0010898),  (29,-0.0010898),  (30,-0.0010898),  (31,-0.00108979), 
frontloc = 0.001625, frontloc_old = 0.0016146, cond. vel. = 0.0104031 m/s

Writing: "ThinLine2DTestL06ISOV1_18.chk" (0s, XML)
Steps: 1900000  Time: 0.019       
 CPU Time: 48.5804 min.
